Country Or Territory,NUTS Code,Air Pollutant,Category,Outcome,Health Indicator,Description Of Age Group,Population,Affected Population,Air Pollution Population Weighted Average [ug/m3],Value,Value for 100k Of Affected Population
Croatia,HR,PM2.5,Morbidity,Chronic obstructive pulmonary disease,Years Lived with Disability (YLD),>= 25 years of age,3861902,2913915,14.2,1616,55.5
Croatia,HR,PM2.5,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,3861902,703636,14.2,0,0.0
Croatia,HR,PM2.5,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,3861902,2913915,14.2,852,29.3
Croatia,HR,PM2.5,Total burden of disease,Ischemic heart disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,3861902,2913915,14.2,10937,375.3
Türkiye,TR,NO2,Morbidity,Asthma - children and adolescents,Years Lived with Disability (YLD),< 19 years of age,84655959,23953698,30.0,12784,53.4
Türkiye,TR,NO2,Mortality,Asthma - children and adolescents,Attributable deaths (AD),< 19 years of age,84655959,23953698,30.0,1,0.0
Finland,FI,PM2.5,Mortality,Chronic obstructive pulmonary disease,Years of Life Lost (YLL),>= 25 years of age,5546525,4087221,4.4,54,1.3
Finland,FI,PM2.5,Total burden of disease,Asthma - children and adolescents,Disability-Adjusted Life Years (DALY),< 19 years of age,5546525,1095188,4.4,14,1.3
Finland,FI,NO2,Mortality,Diabetes Mellitus,Years of Life Lost (YLL),>= 25 years of age,5546525,4087221,7.1,89,2.2
Finland,FI,NO2,Mortality,Stroke,Attributable deaths (AD),>= 25 years of age,5546525,4087221,7.1,12,0.3
Finland,FI,NO2,Total burden of disease,Chronic obstructive pulmonary disease,Disability-Adjusted Life Years (DALY),>= 25 years of age,5546525,4087221,7.1,119,2.9
Finland,FI,O3,Mortality,Chronic obstructive pulmonary disease,Attributable deaths (AD),>= 25 years of age,5546525,4087221,75.6,37,0.9
Finland,FI,PM2.5,Morbidity,Stroke,Years Lived with Disability (YLD),>= 25 years of age,5546525,4087221,4.4,41,1.0
